nombre,distrito_id,distrito_nombre,departamento_id,departamento_nombre,tipo,lat,lon,observacion
El Aguará,704,Huanqueros,7,San Cristóbal,Paraje,-29.95264626998062,-61.24192951311549,
El Arazá,321,El Arazá,3,General Obligado,Comuna,-29.13285208446465,-59.94837882166929,
El Bayo,811,Sunchales,8,Castellanos,Paraje,-31.030043791917404,-61.50703695684237,
El Cantor,1701,Caferata,17,General López,Paraje,-33.5141588359557,-62.13549550588479,
El Carmen,319,Avellaneda,3,General Obligado,Paraje,-29.022388572237404,-59.649022469547084,
El Gusano,403,Alejandra,4,San Javier,Paraje,-29.59640280084823,-59.77461589221789,
El Jardín,1710,Elortondo,17,General López,Paraje,-33.69450645015952,-61.68671340046414,
El Laurel,501,Helvecia,5,Garay,Paraje,-30.978193699792953,-60.066831271939975,
El Lucero,706,Aguará Grande,7,San Cristóbal,Paraje,-29.90348747221241,-60.84950476011657,
El Rabón,303,El Rabón,3,General Obligado,Comuna,-28.22745571348322,-59.26384736355975,
El Recreo,506,Saladero Cabal,5,Garay,Paraje,-30.87458642731164,-60.08247514028075,
El Ricardito,322,Berna,3,General Obligado,Paraje,-29.177068879798604,-59.94487976012715,
El Sombrerito,313,El Sombrerito,3,General Obligado,Comuna,-28.65534537292482,-59.4267208223847,
El Timbú,319,Avellaneda,3,General Obligado,Paraje,-29.01865994535885,-59.59018722659595,
El Trébol,1215,El Trébol,12,San Martín,Municipalidad,-32.197924940056055,-61.70201239430347,
Elisa,901,Elisa,9,Las Colonias,Comuna,-30.695780055759826,-61.04828347112546,
Elortondo,1710,Elortondo,17,General López,Comuna,-33.69788399724964,-61.61706676937725,
Emb. Km. 403,308,Villa Ocampo,3,General Obligado,Paraje,-28.57160264324643,-59.37608123130604,
Emilia,1001,Emilia,10,La Capital,Comuna,-31.05903618134909,-60.74493958942052,
Empalme San Carlos,927,Empalme San Carlos,9,Las Colonias,Comuna,-31.547751777241295,-60.813654381853354,
Empalme Villa Constitución,1916,Empalme Villa Constitución,19,Constitución,Comuna,-33.26056324911054,-60.38196850538639,
Esmeralda,842,Esmeralda,8,Castellanos,Comuna,-31.616248041618675,-61.932921401991905,
Esperanza,916,Esperanza,9,Las Colonias,Municipalidad,-31.448825189031623,-60.93028956909345,Cabecera departamental
Espín,202,Vera,2,Vera,Localidad,-29.539629341051274,-60.22168733915743,
Estación Avena,1204,San Martín De Las Escobas,12,San Martín,Paraje,-31.842594612966046,-61.55966053747444,
Estación Cabal,1002,Cabal,10,La Capital,Paraje,-31.10322777488435,-60.72736205097474,
Estación Clara,718,Capivara,7,San Cristóbal,Paraje,-30.545564643314368,-61.18845590911543,
Estación Clucellas,838,Estación Clucellas,8,Castellanos,Comuna,-31.52407853664054,-61.71822553988382,
Estación Díaz,1119,Estación Díaz,11,San Jerónimo,Comuna,-32.3707372491905,-61.0865238636907,
Estación Emilia,1001,Emilia,10,La Capital,Paraje,-31.06356187765993,-60.717899940944115,
Estación J. M.  Estrada,834,Colonia Cello,8,Castellanos,Localidad,-31.48900162810488,-61.90197008059007,
